Prompt,davinci_response,gptNeo_response,gptJ_response,X,,
Can you share your current level of anticipation or disappointment?,,,,,,
Are you feeling energetic or disheartened at the moment?,,,,,,
How are you feeling emotionally in regards to a particular topic or event?,,,,,,
Are you feeling optimistic or pessimistic at the moment?,,,,,,
Can you describe your emotional well-being currently with a feeling word or adjective?,,,,,,
Are you feeling hopeful or hopeless at the moment?,,,,,,
How would you rate your current mood in regards to a specific situation or topic?,,,,,,
Can you share your current level of comfort or discomfort about a specific situation or topic?,,,,,,
Are you feeling secure or insecure at the moment?,,,,,,
How are you feeling emotionally about a current event or situation?,,,,,,
Are you feeling confident or uncertain at the moment?,,,,,,
Can you describe your current emotional state with a feeling word or phrase?,,,,,,
Are you feeling empowered or disempowered at the moment?,,,,,,
How would you rate your emotional well-being on a scale of 1-10?,,,,,,
Can you share your current level of peace or unease?,,,,,,
Are you feeling serene or agitated at the moment?,,,,,,
How are you feeling emotionally in regards to a specific situation or event?,,,,,,
Are you feeling tranquil or restless at the moment?,,,,,,
Can you describe your current mood with a feeling adjective or phrase?,,,,,,
Are you feeling at peace or at unrest at the moment?,,,,,,
How would you rate your emotional state in regards to a specific topic or situation?,,,,,,
Can you share your current level of balance or imbalance?,,,,,,
Are you feeling grounded or ungrounded at the moment?,,,,,,
How are you feeling emotionally about a particular event or situation?,,,,,,
Are you feeling rooted or uprooted at the moment?,,,,,,
Can you describe your emotional well-being currently with a feeling word or adjective?,,,,,,
Are you feeling settled or unsettled at the moment?,,,,,,
How would you rate your current mood on a scale of 1-10?,,,,,,
Can you share your current level of stability or instability?,,,,,,
Are you feeling steady or unsteady at the moment?,,,,,,
How are you feeling emotionally in regards to a specific topic or event?,,,,,,
Are you feeling secure or insecure at the moment?,,,,,,
Can you describe your current emotional state with a feeling word or phrase?,,,,,,
Are you feeling at ease or at dis-ease at the moment?,,,,,,
How would you rate your emotional well-being in regards to a specific,,,,,,
Can you think of a recent event that brought you joy?,,,,,,
Have you experienced any negative emotions today?,,,,,,
Can you recall a moment that made you feel proud?,,,,,,
Have you felt stressed or overwhelmed recently?,,,,,,
Can you remember a time when you felt loved or appreciated?,,,,,,
Have you experienced any feelings of disappointment or frustration lately?,,,,,,
Can you think of a situation that made you feel content or satisfied?,,,,,,
Have you felt anxious or nervous lately?,,,,,,
Can you recall a moment that made you feel confident?,,,,,,
Have you felt angry or frustrated lately?,,,,,,
Can you remember a time when you felt happy or elated?,,,,,,
Have you experienced any feelings of sadness or grief recently?,,,,,,
Can you think of a situation that made you feel safe or protected?,,,,,,
Have you felt calm or relaxed lately?,,,,,,
Can you recall a moment that made you feel proud or accomplished?,,,,,,
Have you felt nervous or intimidated lately?,,,,,,
Can you remember a time when you felt supported or encouraged?,,,,,,
Have you experienced any feelings of loneliness or isolation lately?,,,,,,
Can you think of a situation that made you feel appreciated or valued?,,,,,,
Have you felt restless or bored lately?,,,,,,
Can you recall a moment that made you feel empowered or inspired?,,,,,,
Have you felt frustrated or powerless lately?,,,,,,
Can you remember a time when you felt grateful or thankful?,,,,,,
Have you experienced any feelings of hopelessness or despair lately?,,,,,,
Can you think of a situation that made you feel confident or self-assured?,,,,,,
Have you felt worried or fearful lately?,,,,,,
Can you recall a moment that made you feel connected or close to others?,,,,,,
Have you felt resentful or bitter lately?,,,,,,
Can you remember a time when you felt joyous or ecstatic?,,,,,,
Have you experienced any feelings of envy or jealousy lately?,,,,,,
Can you think of a situation that made you feel secure or protected?,,,,,,
Have you felt overwhelmed or exhausted lately?,,,,,,
Can you recall a moment that made you feel creative or imaginative?,,,,,,
Have you felt indifferent or apathetic lately?,,,,,,
Can you remember a time when you felt proud or accomplished?,,,,,,
Have you experienced any feelings of guilt or remorse lately?,,,,,,
Can you think of a situation that made you feel calm or serene?,,,,,,
Have you felt irritable or impatient lately?,,,,,,
Can you recall a moment that made you feel confident or bold?,,,,,,
Have you felt ashamed or embarrassed lately?,,,,,,
Can you remember a time when you felt hopeful or optimistic?,,,,,,
Have you experienced any feelings of anxiety or nervousness lately?,,,,,,
Can you think of a situation that made you feel joyful or content?,,,,,,
Have you felt dull or uninterested lately?,,,,,,
Can you recall a moment that made you feel inspired or motivated?,,,,,,
Have you felt shy or timid lately?,,,,,,
Can you remember a time when you felt grateful or thankful?,,,,,,
Have you experienced any feelings of sadness or grief lately?,,,,,,
Can you think of a situation that made you feel safe or comforted?,,,,,,
Have you felt angry or irritable lately?,,,,,,
Can you recall a moment that made you feel confident or self-assured?,,,,,,
Have you felt discouraged or demotivated lately?,,,,,,
Can you remember a time when you felt loved or cherished?,,,,,,
